1.260322 1.107936 1.052385 0.230349 0.081315 1.028281 82.263458 45.782300 10.019630 1.673137 -0.073825 -1.381459 -9.791311 9.830192 1.803648 10.580294 7.815629 43.370819 0.184303 9 MT1(2-1) MT1(8-1) MT1(9-1) CE2(12-2;12-7) MT2(12-8) AICNS1 MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 28243.306634 0.048832 346574.661328 1.096894 23724750000000000000.000000 23724750000000000000.000000 4.123557 1.314747 -1.160464 -0.019623 1.327104 -1.158614 -0.018899 7.949725 7.634845 1830.020445 0.118695 2 SN1 SN2 
1.260173 1.107936 8.073420 0.838430 1.727863 1.028221 2979.201982 2943.730000 3.622977 -0.904225 1.588616 -0.016487 -1.337105 6.017735 -13.021584 9.608015 9.005419 112.031157 0.577791 9 MT1(2-1) MT1(8-1) MT1(9-1) CE2(12-2;12-7) MT2(12-8) AICNS1 MT2(13-8) MT2(13-9) SN2 
1.341243 1.107936 2.864257 0.600020 0.359031 1.060252 603.695553 573.092400 3.410363 0.258361 -0.060659 0.240718 -2.336855 -8.409905 -1.179964 10.410287 9.759496 133.675120 0.079959 6 MT1(2-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.314512 1.107936 3.309259 0.736335 0.448325 1.049824 367.443215 334.822900 5.497474 0.340157 -0.016918 0.072571 15.187490 -13.882388 -17.758485 10.425593 9.099391 185.629167 0.221538 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.329317 1.107936 3.555741 0.618738 0.497816 1.055616 1251.178361 1217.472000 7.172955 -0.404780 -0.044236 0.165489 5.272755 4.947399 15.461943 10.547501 8.653572 167.762501 0.379676 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 248694.095582 0.740674 9055693.347137 1.096894 8977949999999999803392.000000 8977949999999999803392.000000 2.517582 -0.276863 0.459283 0.166249 -0.169270 0.451670 0.103251 8.162261 7.922089 17603.338877 0.029283 2 SN1 SN2 
1.294036 1.107936 9.297722 0.782286 2.120336 1.041749 12249.887812 12215.970000 5.295574 -0.037997 -0.283875 -0.065367 6.207237 -10.984025 1.658523 10.128073 8.974815 201.590268 0.159346 7 MT1(2-1) MT1(3-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.312919 1.107936 3.635885 0.542543 0.516481 1.049199 2191.822901 2158.930000 5.134049 0.130014 -0.307864 0.015024 -7.574425 9.904519 10.298571 10.295161 9.129138 518.208641 0.722476 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.311841 1.107936 2.921170 0.170899 0.372024 1.048775 2835.992884 2796.685000 13.929180 -0.362116 0.394036 0.019873 5.302055 6.460370 9.848836 10.793941 7.126104 146.796640 0.239103 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
